,train,val,test
0,0005f7aaab2800f6170c399693a96917,fdad73308669459f04e6c8e14c38a56f,6685582686a1bb08c0d57f5dbc1f53fd
1,000920ad0b612851f8e01bcc880d9b3d,7f96d1a121676b1a4fb5f73684061d80,b0f2cb16755d46186dbcd813ce76ea05
2,001d865e65ef5d2579c190a0e0350d8f,5546f7cadb86a731b7a1591070316dc0,d91b799dcfec74a8fcb96a53f2022274
3,002a4db09dad406c85505a00fb6f6144,ddc6c2922dc99fb10a2527e5e830ad77,74270feba7d6ce664d84065e27cfea6d
4,00412139e6b04d1e1cee8421f38f6e90,699aee467d028cc39214073e2da18871,106b34c5c7cef8e43594524c9fd1c999
5,006f4d8d3556dd21f6424202c2d294a9,a6220c7ef591dd3f61c996877d0504d8,1785c37e3065cf68c0ef04d6fdb5dbcb
6,00a76bfbec239fd9f465d6581806ff42,1a5123a18c641040307c36f5e9811efc,5d48c52e804a1b1d565ad60a71e38df0
7,01699a34381500901408ba3258f5c61a,aec8c9de53039867c46c17647b800778,71a66ea303504eb43f3369162d0a9307
8,019c1b40e6ec7410e8356c5d8d487954,c086762038676658afbb3e39432c049a,ef4db235c1d5028e455df952cd17500a
9,01c3fb23ddaec7c51e1c0b52450bb472,a59b754e6ae29ba224e7422995ebb5fe,3d4bec36220d43b0af5c5ea0725e9f32
10,01d983ba412b27a65f58848b695ec751,e10c337764347d31c843126ea3156504,66e0c8fcc2e2130b1e5d0fe125c34b91
11,01fe87e27518936463e751691db8f730,6f10905caac3dca8c74143bf90848378,0bd8e31343eeb3a3d57effeb507c9a91
12,0200fa88e8c01546663b9db1726936ac,ebcbe0cbe5aee5f63c5bed754f3c8be0,404702c384b622b8bded2b8ab146ad93
13,022181eb0127cb8f1ec240efa3f15799,42ed3236c832fa436b51d774fda8f3cb,fa443a89009d726aafc74f439dcda7aa
14,024ed1244a6d817358cedaea3783bbde,f078e8a043122dd2b87426178bec0601,060f60eeecf1ab502526a34db9caaf8e
15,025a65c53cd655151b9ff1b9518aa27e,8cca652bef7a75a8a035bedb78b58832,8631ec5e69c162ee078e8a17f131f72e
16,028098c36eb49a8c6aa6e76e365dd055,369d4a2937c58da892d153886cff15e3,b4714bdc3d893bc158efe750a60d6de6
17,033e39459301e97e457232780a314ab7,4a9cfd2cec83d162bbcec685721f7b5c,a00490d2957a82f8ee606fa0391666bc
18,035587e63d72f8537b3fce5067bb18df,9a1c6404bd6a8c67ed463039c74a64de,1204e417143ace066318e750b4700df5
19,03cb612a6410c5503aa9cf3d0ba1740f,44763cd60166db3c15077ca5ac0d1a28,5044f516918074e89e36e0461be805f6
20,03cbe5d39233a65cd7f64a81094ccc54,d9b2fdff45b816ec276306bb1ac2242f,a75b08009b587976191d332890a52964
21,03e321735fcdc09782e006f9fca23075,755150712ebcc2df72627e68797009cd,49773f4304bd7f8dd38da29dc89b004f
