,train,val,test
0,0005f7aaab2800f6170c399693a96917,0716c93c57221da6de731b0df342a641,87fab5372e284fdfb9c1e7cd659f7779
1,000920ad0b612851f8e01bcc880d9b3d,91dbf33750e689bb6ed3c3fb60782cef,27df50f5957b4cb382beebc93e3a1966
2,001d865e65ef5d2579c190a0e0350d8f,9d22e04259608d9e5bafa6ee02bcd803,a7cee2b597ea38b1bd3e4757652a913f
3,002a4db09dad406c85505a00fb6f6144,1b875804696c16df1c91abf6d16a7b4e,274fb123637904be69bad66bb8277ed2
4,00412139e6b04d1e1cee8421f38f6e90,30fe53074379ef47b2269368ceeb531b,ef9453132cfa46c7e5a506178756ff01
5,006f4d8d3556dd21f6424202c2d294a9,9e214636c44de44bb1b3c62e5f2af44b,805d295ef3c4c573cb1990596d77ff8e
6,00a76bfbec239fd9f465d6581806ff42,f3cdf9ea25856aaaaaf7d0ceec875bef,88d828c35fb9072e4de849b75fe9f721
7,01699a34381500901408ba3258f5c61a,6bf8339b4430a51d6367416dab794735,84b003f61775364863391f586bba7c6a
8,019c1b40e6ec7410e8356c5d8d487954,99052931c444660b3edeeb5e9279a4d3,f35466ac37a4bd2190e6aaf668f0dfbf
9,01c3fb23ddaec7c51e1c0b52450bb472,47ba1e7344da00d621596e398521adf3,fd1deb6f87696b6372ea9c9b109b4ccf
10,01c816336959ee9d94b23b37b0f71f21,d50f85e2414dd545345934cdef5c8dce,4553598eba61406c043f292719d1b696
11,01d983ba412b27a65f58848b695ec751,9d06c9352a9eefe7160f82932a6013e3,0e212c3ff7bf9120a46c2f56b67f7f20
12,01fe87e27518936463e751691db8f730,d036e5b82131663ce9713366f9285063,77e6971aea24697a8ab12490aba58aab
13,022181eb0127cb8f1ec240efa3f15799,2ac0289a1ec7052e6e157ffdb6b68fe4,dbe7f4456dfcc47d0f380de5b31c5e87
14,024ed1244a6d817358cedaea3783bbde,5a0c582812967666f68055b84aa6a69b,fedd0914fb849d76b0fe96e1683bbe55
15,025a65c53cd655151b9ff1b9518aa27e,feaf693051419310372e21ca9cf326c0,0eb6bb946906a834fb91bfd5fc0f720d
16,028098c36eb49a8c6aa6e76e365dd055,97f263002f98ab37ef16cf44d087596b,0c782b90b01085cd1c390076363c6fe6
17,033e39459301e97e457232780a314ab7,7e8745ed801d57aaf0febef1d2d9c3ac,10b00bbaff7224b83537ccb02e7e1416
18,035587e63d72f8537b3fce5067bb18df,95b532b4358d9b7df9102074081e7e31,4375505cc90a8de4e82c267a1d2f97f4
19,03cb612a6410c5503aa9cf3d0ba1740f,4a1a331abf928c86ef9a260e09d0358d,af3c2515b4914a1dfb754d0442970144
20,03cbe5d39233a65cd7f64a81094ccc54,34a7736e8074a6cef57277d7dfcaeeb7,751016133b7a6d0cea31c75ed46ca532
21,03e321735fcdc09782e006f9fca23075,a1005d42ab0ed43009c6f30eedf12628,1bcd72efb2404e184d0b572612bf1355
22,04201ee15d33abe4b032317792cf1040,175dca62ef815a4e6d053c230fddec9e,e85bc7944c6dad97514e5dbbf774ace4
23,042bd2100df4934b520a4c0c3fbe1d6b,bb1013d0290e48b37be98f2a834131e8,aac37f782ffceb519f664b2737b58a4d
24,0452381085998676ae1e3c877df5bd4d,ac6ac43819c3e01b53b7c63fc4c4c24e,bced61c055b97795c15fd6020cbf1c96
