,train,val,test
0,tumor_052,tumor_024,test_001
1,normal_031,normal_147,test_002
2,tumor_050,normal_089,test_003
3,normal_151,tumor_065,test_004
4,normal_049,tumor_078,test_005
5,normal_051,tumor_055,test_006
6,normal_101,normal_115,test_007
7,normal_096,tumor_040,test_008
8,normal_085,normal_029,test_009
9,tumor_089,normal_082,test_010
10,normal_055,normal_067,test_011
11,normal_143,normal_008,test_012
12,normal_125,tumor_074,test_013
13,normal_011,normal_121,test_014
14,normal_003,normal_146,test_015
15,normal_129,tumor_002,test_016
16,tumor_087,normal_075,test_017
17,normal_098,tumor_020,test_018
18,tumor_019,normal_102,test_019
19,tumor_072,normal_128,test_020
20,normal_013,tumor_025,test_021
21,normal_118,tumor_010,test_022
22,tumor_069,tumor_108,test_023
23,normal_047,normal_009,test_024
24,tumor_049,normal_032,test_025
25,normal_019,normal_046,test_026
26,normal_124,normal_116,test_027
27,tumor_023,,test_028
28,normal_070,,test_029
29,normal_114,,test_030
30,normal_111,,test_031
31,tumor_100,,test_032
32,normal_079,,test_033
33,tumor_005,,test_034
34,tumor_094,,test_035
35,tumor_102,,test_036
36,normal_110,,test_037
37,normal_038,,test_038
38,normal_035,,test_039
39,normal_109,,test_040
40,tumor_084,,test_041
41,normal_060,,test_042
42,normal_030,,test_043
43,tumor_097,,test_044
44,normal_061,,test_045
45,normal_053,,test_046
46,tumor_001,,test_047
47,tumor_043,,test_048
48,tumor_066,,test_050
49,normal_154,,test_051
50,tumor_045,,test_052
51,normal_002,,test_053
52,tumor_096,,test_054
53,normal_068,,test_055
54,tumor_098,,test_056
55,normal_140,,test_057
56,normal_025,,test_058
57,tumor_110,,test_059
58,normal_088,,test_060
59,tumor_068,,test_061
60,tumor_075,,test_062
61,tumor_053,,test_063
62,normal_006,,test_064
63,normal_026,,test_065
64,tumor_007,,test_066
65,normal_119,,test_067
66,tumor_107,,test_068
67,normal_117,,test_069
68,tumor_016,,test_070
69,normal_137,,test_071
70,tumor_054,,test_072
71,tumor_071,,test_073
72,normal_083,,test_074
73,normal_141,,test_075
74,normal_160,,test_076
75,tumor_038,,test_077
76,tumor_014,,test_078
77,normal_153,,test_079
78,tumor_018,,test_080
79,normal_045,,test_081
80,normal_017,,test_082
81,normal_130,,test_083
82,tumor_067,,test_084
83,tumor_051,,test_085
84,normal_106,,test_086
85,normal_004,,test_087
86,normal_072,,test_088
87,normal_134,,test_089
88,normal_012,,test_090
89,tumor_008,,test_091
90,tumor_109,,test_092
91,tumor_076,,test_093
92,normal_014,,test_094
93,normal_062,,test_095
94,normal_034,,test_096
95,tumor_064,,test_097
96,tumor_095,,test_098
97,normal_052,,test_099
98,normal_028,,test_100
99,tumor_033,,test_101
100,normal_041,,test_102
101,normal_139,,test_103
102,tumor_041,,test_104
103,normal_113,,test_105
104,normal_159,,test_106
105,normal_018,,test_107
106,tumor_029,,test_108
107,normal_039,,test_109
108,tumor_079,,test_110
109,tumor_011,,test_111
110,tumor_032,,test_112
111,tumor_003,,test_113
112,normal_127,,test_114
113,tumor_105,,test_115
114,normal_081,,test_116
115,tumor_088,,test_117
116,tumor_012,,test_118
117,tumor_104,,test_119
118,tumor_060,,test_120
119,tumor_015,,test_121
120,tumor_103,,test_122
121,normal_135,,test_123
122,tumor_061,,test_124
123,normal_091,,test_125
124,normal_037,,test_126
125,tumor_077,,test_127
126,normal_094,,test_128
127,tumor_048,,test_129
128,normal_033,,test_130
129,normal_020,,
130,normal_063,,
131,normal_054,,
132,normal_007,,
133,tumor_034,,
134,normal_069,,
135,normal_092,,
136,tumor_030,,
137,normal_103,,
138,tumor_046,,
139,tumor_031,,
140,tumor_036,,
141,normal_148,,
142,tumor_106,,
143,tumor_039,,
144,tumor_093,,
145,normal_040,,
146,normal_108,,
147,normal_021,,
148,tumor_090,,
149,tumor_042,,
150,tumor_022,,
151,normal_050,,
152,tumor_028,,
153,tumor_004,,
154,normal_156,,
155,normal_024,,
156,normal_074,,
157,normal_057,,
158,normal_097,,
159,normal_043,,
160,tumor_091,,
161,normal_155,,
162,tumor_111,,
163,tumor_047,,
164,tumor_092,,
165,normal_065,,
166,tumor_027,,
167,normal_023,,
168,normal_073,,
169,tumor_082,,
170,tumor_073,,
171,tumor_083,,
172,normal_058,,
173,normal_087,,
174,normal_123,,
175,normal_112,,
176,normal_107,,
177,normal_152,,
178,normal_036,,
179,normal_048,,
180,normal_095,,
181,normal_122,,
182,normal_150,,
183,normal_059,,
184,normal_016,,
185,tumor_059,,
186,normal_104,,
187,tumor_026,,
188,normal_136,,
189,normal_001,,
190,normal_138,,
191,normal_133,,
192,tumor_044,,
193,normal_042,,
194,tumor_101,,
195,normal_077,,
196,tumor_017,,
197,normal_010,,
198,tumor_080,,
199,normal_066,,
200,normal_120,,
201,tumor_006,,
202,normal_076,,
203,normal_090,,
204,tumor_035,,
205,tumor_070,,
206,tumor_086,,
207,normal_078,,
208,tumor_021,,
209,normal_157,,
210,tumor_013,,
211,normal_099,,
212,normal_158,,
213,tumor_081,,
214,normal_131,,
215,tumor_085,,
216,normal_015,,
217,normal_105,,
218,normal_064,,
219,tumor_058,,
220,tumor_056,,
221,normal_100,,
222,normal_145,,
223,normal_056,,
224,normal_022,,
225,normal_005,,
226,tumor_057,,
227,tumor_009,,
228,normal_142,,
229,normal_093,,
230,normal_071,,
231,tumor_099,,
232,tumor_062,,
233,normal_144,,
234,normal_149,,
235,normal_044,,
236,normal_084,,
237,normal_080,,
238,normal_126,,
239,tumor_063,,
240,tumor_037,,
241,normal_132,,
