,train,val,test
0,normal_137,tumor_042,test_001
1,tumor_092,normal_069,test_002
2,normal_088,normal_130,test_003
3,tumor_066,tumor_044,test_004
4,tumor_057,normal_044,test_005
5,normal_073,normal_070,test_006
6,tumor_022,normal_095,test_007
7,normal_011,tumor_029,test_008
8,normal_151,normal_106,test_009
9,tumor_054,tumor_017,test_010
10,tumor_024,normal_113,test_011
11,normal_010,tumor_083,test_012
12,tumor_109,normal_139,test_013
13,normal_127,normal_145,test_014
14,normal_030,tumor_103,test_015
15,tumor_051,tumor_086,test_016
16,tumor_010,tumor_016,test_017
17,normal_025,normal_001,test_018
18,normal_015,normal_138,test_019
19,normal_031,tumor_059,test_020
20,normal_046,normal_026,test_021
21,normal_060,tumor_060,test_022
22,normal_037,tumor_064,test_023
23,normal_079,normal_092,test_024
24,normal_091,normal_024,test_025
25,normal_104,normal_154,test_026
26,tumor_071,normal_074,test_027
27,normal_017,,test_028
28,normal_124,,test_029
29,normal_109,,test_030
30,normal_078,,test_031
31,normal_135,,test_032
32,tumor_111,,test_033
33,normal_089,,test_034
34,tumor_013,,test_035
35,tumor_091,,test_036
36,tumor_011,,test_037
37,normal_096,,test_038
38,normal_133,,test_039
39,tumor_107,,test_040
40,tumor_033,,test_041
41,normal_028,,test_042
42,normal_094,,test_043
43,tumor_039,,test_044
44,tumor_041,,test_045
45,tumor_012,,test_046
46,normal_097,,test_047
47,tumor_043,,test_048
48,normal_156,,test_050
49,normal_119,,test_051
50,normal_032,,test_052
51,tumor_008,,test_053
52,normal_087,,test_054
53,normal_146,,test_055
54,normal_023,,test_056
55,tumor_018,,test_057
56,normal_067,,test_058
57,tumor_052,,test_059
58,tumor_026,,test_060
59,tumor_101,,test_061
60,normal_034,,test_062
61,normal_075,,test_063
62,tumor_045,,test_064
63,normal_061,,test_065
64,tumor_027,,test_066
65,normal_020,,test_067
66,normal_022,,test_068
67,normal_081,,test_069
68,tumor_058,,test_070
69,normal_099,,test_071
70,normal_115,,test_072
71,tumor_065,,test_073
72,normal_054,,test_074
73,normal_003,,test_075
74,normal_140,,test_076
75,normal_112,,test_077
76,normal_012,,test_078
77,tumor_090,,test_079
78,tumor_100,,test_080
79,normal_132,,test_081
80,normal_084,,test_082
81,normal_093,,test_083
82,normal_101,,test_084
83,normal_047,,test_085
84,tumor_015,,test_086
85,normal_142,,test_087
86,normal_152,,test_088
87,normal_035,,test_089
88,tumor_007,,test_090
89,tumor_005,,test_091
90,normal_009,,test_092
91,tumor_105,,test_093
92,normal_065,,test_094
93,normal_131,,test_095
94,tumor_061,,test_096
95,tumor_046,,test_097
96,normal_045,,test_098
97,tumor_053,,test_099
98,normal_021,,test_100
99,normal_041,,test_101
100,tumor_001,,test_102
101,normal_144,,test_103
102,normal_040,,test_104
103,normal_126,,test_105
104,tumor_088,,test_106
105,normal_080,,test_107
106,tumor_108,,test_108
107,tumor_006,,test_109
108,normal_002,,test_110
109,normal_052,,test_111
110,normal_008,,test_112
111,tumor_095,,test_113
112,tumor_074,,test_114
113,normal_125,,test_115
114,normal_122,,test_116
115,tumor_110,,test_117
116,normal_157,,test_118
117,normal_128,,test_119
118,tumor_087,,test_120
119,tumor_025,,test_121
120,normal_108,,test_122
121,tumor_068,,test_123
122,normal_082,,test_124
123,normal_058,,test_125
124,normal_062,,test_126
125,normal_129,,test_127
126,tumor_072,,test_128
127,tumor_009,,test_129
128,normal_029,,test_130
129,tumor_084,,
130,tumor_063,,
131,normal_123,,
132,normal_103,,
133,tumor_040,,
134,tumor_028,,
135,normal_013,,
136,normal_143,,
137,tumor_076,,
138,tumor_048,,
139,normal_121,,
140,normal_085,,
141,normal_114,,
142,tumor_069,,
143,normal_004,,
144,normal_071,,
145,normal_063,,
146,normal_105,,
147,tumor_094,,
148,tumor_089,,
149,tumor_014,,
150,tumor_047,,
151,normal_090,,
152,tumor_081,,
153,normal_102,,
154,tumor_050,,
155,tumor_034,,
156,tumor_021,,
157,normal_077,,
158,normal_016,,
159,tumor_002,,
160,tumor_032,,
161,tumor_004,,
162,tumor_106,,
163,normal_158,,
164,normal_149,,
165,tumor_093,,
166,normal_049,,
167,tumor_038,,
168,normal_006,,
169,tumor_096,,
170,normal_051,,
171,normal_050,,
172,tumor_056,,
173,normal_118,,
174,normal_111,,
175,tumor_104,,
176,normal_120,,
177,normal_007,,
178,normal_018,,
179,normal_098,,
180,normal_056,,
181,normal_042,,
182,normal_048,,
183,normal_153,,
184,tumor_019,,
185,normal_141,,
186,tumor_062,,
187,tumor_077,,
188,normal_160,,
189,tumor_073,,
190,normal_064,,
191,normal_150,,
192,normal_019,,
193,normal_136,,
194,normal_005,,
195,tumor_082,,
196,normal_155,,
197,tumor_102,,
198,tumor_031,,
199,normal_055,,
200,normal_059,,
201,normal_116,,
202,tumor_049,,
203,normal_066,,
204,normal_072,,
205,tumor_097,,
206,normal_083,,
207,normal_147,,
208,normal_134,,
209,normal_057,,
210,tumor_085,,
211,tumor_070,,
212,normal_159,,
213,normal_117,,
214,tumor_079,,
215,tumor_020,,
216,tumor_003,,
217,tumor_099,,
218,normal_107,,
219,normal_036,,
220,normal_076,,
221,normal_100,,
222,tumor_098,,
223,tumor_035,,
224,tumor_036,,
225,normal_033,,
226,tumor_030,,
227,tumor_023,,
228,tumor_078,,
229,normal_053,,
230,tumor_080,,
231,normal_043,,
232,normal_148,,
233,normal_068,,
234,normal_038,,
235,normal_110,,
236,normal_014,,
237,normal_039,,
238,tumor_037,,
239,tumor_075,,
240,tumor_067,,
241,tumor_055,,
