,train,val,test
0,normal_044,normal_094,test_001
1,normal_126,normal_023,test_002
2,normal_041,tumor_022,test_003
3,normal_035,normal_127,test_004
4,normal_110,tumor_003,test_005
5,normal_156,tumor_087,test_006
6,tumor_048,tumor_027,test_007
7,normal_084,normal_120,test_008
8,tumor_083,tumor_086,test_009
9,tumor_002,tumor_034,test_010
10,normal_063,normal_123,test_011
11,tumor_052,normal_128,test_012
12,tumor_066,tumor_014,test_013
13,tumor_095,normal_131,test_014
14,normal_152,tumor_026,test_015
15,tumor_062,normal_061,test_016
16,normal_148,tumor_011,test_017
17,tumor_041,normal_067,test_018
18,normal_057,normal_042,test_019
19,normal_040,normal_160,test_020
20,normal_112,normal_129,test_021
21,normal_076,normal_095,test_022
22,normal_037,normal_058,test_023
23,normal_136,normal_064,test_024
24,normal_091,tumor_036,test_025
25,tumor_088,normal_153,test_026
26,tumor_097,tumor_064,test_027
27,normal_144,,test_028
28,tumor_104,,test_029
29,tumor_031,,test_030
30,tumor_069,,test_031
31,normal_146,,test_032
32,normal_028,,test_033
33,normal_125,,test_034
34,normal_083,,test_035
35,tumor_107,,test_036
36,tumor_110,,test_037
37,tumor_008,,test_038
38,normal_013,,test_039
39,normal_106,,test_040
40,tumor_091,,test_041
41,normal_116,,test_042
42,tumor_085,,test_043
43,normal_121,,test_044
44,tumor_076,,test_045
45,normal_026,,test_046
46,normal_003,,test_047
47,normal_154,,test_048
48,tumor_081,,test_050
49,tumor_067,,test_051
50,normal_133,,test_052
51,normal_025,,test_053
52,tumor_061,,test_054
53,normal_008,,test_055
54,tumor_075,,test_056
55,tumor_103,,test_057
56,tumor_080,,test_058
57,tumor_038,,test_059
58,tumor_093,,test_060
59,normal_016,,test_061
60,normal_082,,test_062
61,normal_099,,test_063
62,normal_024,,test_064
63,normal_107,,test_065
64,tumor_109,,test_066
65,tumor_101,,test_067
66,normal_118,,test_068
67,normal_098,,test_069
68,normal_075,,test_070
69,tumor_063,,test_071
70,tumor_065,,test_072
71,normal_022,,test_073
72,tumor_072,,test_074
73,tumor_089,,test_075
74,tumor_068,,test_076
75,normal_056,,test_077
76,tumor_039,,test_078
77,normal_158,,test_079
78,normal_066,,test_080
79,tumor_106,,test_081
80,normal_070,,test_082
81,normal_014,,test_083
82,tumor_111,,test_084
83,normal_100,,test_085
84,tumor_035,,test_086
85,normal_068,,test_087
86,normal_009,,test_088
87,normal_007,,test_089
88,normal_055,,test_090
89,normal_018,,test_091
90,tumor_021,,test_092
91,tumor_033,,test_093
92,normal_021,,test_094
93,normal_122,,test_095
94,tumor_024,,test_096
95,tumor_051,,test_097
96,normal_097,,test_098
97,tumor_054,,test_099
98,tumor_009,,test_100
99,normal_073,,test_101
100,tumor_096,,test_102
101,normal_036,,test_103
102,normal_062,,test_104
103,normal_038,,test_105
104,normal_074,,test_106
105,normal_102,,test_107
106,normal_145,,test_108
107,normal_012,,test_109
108,normal_159,,test_110
109,normal_151,,test_111
110,normal_132,,test_112
111,tumor_006,,test_113
112,tumor_025,,test_114
113,tumor_037,,test_115
114,tumor_079,,test_116
115,tumor_017,,test_117
116,normal_137,,test_118
117,normal_081,,test_119
118,normal_004,,test_120
119,tumor_018,,test_121
120,normal_049,,test_122
121,normal_065,,test_123
122,normal_017,,test_124
123,tumor_102,,test_125
124,normal_147,,test_126
125,normal_020,,test_127
126,normal_092,,test_128
127,tumor_010,,test_129
128,tumor_045,,test_130
129,normal_113,,
130,normal_033,,
131,tumor_013,,
132,normal_078,,
133,tumor_099,,
134,tumor_019,,
135,normal_149,,
136,normal_142,,
137,tumor_015,,
138,normal_109,,
139,normal_050,,
140,tumor_078,,
141,normal_101,,
142,tumor_059,,
143,tumor_028,,
144,normal_071,,
145,tumor_058,,
146,tumor_032,,
147,normal_088,,
148,tumor_040,,
149,tumor_004,,
150,tumor_044,,
151,normal_143,,
152,tumor_049,,
153,tumor_082,,
154,tumor_057,,
155,tumor_074,,
156,normal_134,,
157,normal_005,,
158,normal_069,,
159,tumor_042,,
160,normal_052,,
161,tumor_071,,
162,normal_054,,
163,normal_001,,
164,tumor_098,,
165,normal_087,,
166,normal_105,,
167,tumor_055,,
168,normal_072,,
169,tumor_012,,
170,normal_011,,
171,tumor_077,,
172,normal_114,,
173,normal_059,,
174,normal_060,,
175,normal_047,,
176,tumor_007,,
177,tumor_056,,
178,normal_002,,
179,normal_117,,
180,normal_108,,
181,normal_010,,
182,tumor_108,,
183,normal_080,,
184,normal_140,,
185,normal_155,,
186,normal_096,,
187,normal_111,,
188,tumor_016,,
189,tumor_100,,
190,normal_115,,
191,normal_030,,
192,normal_048,,
193,normal_053,,
194,normal_015,,
195,tumor_030,,
196,normal_103,,
197,normal_150,,
198,tumor_005,,
199,normal_019,,
200,normal_119,,
201,tumor_023,,
202,tumor_084,,
203,tumor_053,,
204,normal_029,,
205,normal_032,,
206,normal_079,,
207,tumor_073,,
208,normal_031,,
209,normal_006,,
210,normal_043,,
211,normal_124,,
212,normal_089,,
213,tumor_090,,
214,tumor_029,,
215,tumor_094,,
216,tumor_043,,
217,normal_077,,
218,normal_157,,
219,tumor_105,,
220,normal_135,,
221,tumor_047,,
222,tumor_001,,
223,normal_034,,
224,normal_104,,
225,normal_141,,
226,tumor_020,,
227,normal_051,,
228,normal_046,,
229,tumor_060,,
230,normal_090,,
231,normal_039,,
232,normal_045,,
233,normal_138,,
234,normal_085,,
235,tumor_046,,
236,normal_130,,
237,tumor_050,,
238,tumor_092,,
239,tumor_070,,
240,normal_093,,
241,normal_139,,
