,train,val,test
0,normal_047,tumor_052,test_001
1,normal_103,tumor_028,test_002
2,normal_127,normal_060,test_003
3,tumor_018,normal_040,test_004
4,tumor_035,normal_132,test_005
5,normal_041,tumor_091,test_006
6,normal_011,tumor_080,test_007
7,normal_083,tumor_077,test_008
8,tumor_083,normal_090,test_009
9,tumor_084,tumor_039,test_010
10,normal_008,normal_158,test_011
11,normal_137,tumor_063,test_012
12,normal_093,normal_129,test_013
13,tumor_096,tumor_111,test_014
14,normal_010,normal_106,test_015
15,normal_099,normal_140,test_016
16,normal_030,normal_097,test_017
17,normal_136,normal_125,test_018
18,normal_141,normal_112,test_019
19,normal_063,normal_057,test_020
20,normal_146,normal_107,test_021
21,tumor_002,normal_046,test_022
22,normal_098,normal_059,test_023
23,normal_152,normal_052,test_024
24,normal_019,tumor_008,test_025
25,normal_153,tumor_041,test_026
26,tumor_066,tumor_109,test_027
27,normal_004,,test_028
28,tumor_025,,test_029
29,normal_116,,test_030
30,tumor_092,,test_031
31,normal_114,,test_032
32,tumor_006,,test_033
33,normal_115,,test_034
34,tumor_110,,test_035
35,normal_066,,test_036
36,normal_039,,test_037
37,tumor_106,,test_038
38,normal_035,,test_039
39,normal_159,,test_040
40,tumor_093,,test_041
41,tumor_015,,test_042
42,normal_067,,test_043
43,tumor_098,,test_044
44,tumor_022,,test_045
45,normal_131,,test_046
46,tumor_014,,test_047
47,normal_109,,test_048
48,tumor_076,,test_050
49,tumor_032,,test_051
50,normal_082,,test_052
51,tumor_048,,test_053
52,normal_124,,test_054
53,tumor_079,,test_055
54,normal_051,,test_056
55,normal_075,,test_057
56,normal_084,,test_058
57,normal_157,,test_059
58,normal_065,,test_060
59,normal_006,,test_061
60,normal_068,,test_062
61,normal_126,,test_063
62,tumor_082,,test_064
63,normal_064,,test_065
64,tumor_020,,test_066
65,normal_111,,test_067
66,tumor_090,,test_068
67,tumor_094,,test_069
68,tumor_107,,test_070
69,tumor_105,,test_071
70,tumor_070,,test_072
71,normal_013,,test_073
72,normal_029,,test_074
73,tumor_005,,test_075
74,normal_149,,test_076
75,normal_080,,test_077
76,normal_001,,test_078
77,normal_007,,test_079
78,tumor_047,,test_080
79,normal_073,,test_081
80,normal_044,,test_082
81,tumor_062,,test_083
82,normal_033,,test_084
83,normal_025,,test_085
84,tumor_007,,test_086
85,normal_156,,test_087
86,normal_160,,test_088
87,tumor_023,,test_089
88,tumor_021,,test_090
89,tumor_017,,test_091
90,tumor_016,,test_092
91,tumor_073,,test_093
92,normal_043,,test_094
93,tumor_036,,test_095
94,tumor_074,,test_096
95,tumor_037,,test_097
96,normal_118,,test_098
97,tumor_057,,test_099
98,tumor_040,,test_100
99,normal_036,,test_101
100,tumor_003,,test_102
101,tumor_050,,test_103
102,tumor_065,,test_104
103,normal_022,,test_105
104,normal_050,,test_106
105,normal_031,,test_107
106,normal_139,,test_108
107,tumor_085,,test_109
108,tumor_033,,test_110
109,normal_119,,test_111
110,tumor_038,,test_112
111,tumor_013,,test_113
112,tumor_030,,test_114
113,tumor_097,,test_115
114,normal_021,,test_116
115,tumor_046,,test_117
116,tumor_099,,test_118
117,normal_113,,test_119
118,normal_014,,test_120
119,normal_062,,test_121
120,normal_128,,test_122
121,normal_078,,test_123
122,tumor_004,,test_124
123,tumor_102,,test_125
124,normal_144,,test_126
125,tumor_089,,test_127
126,tumor_086,,test_128
127,normal_138,,test_129
128,normal_148,,test_130
129,normal_130,,
130,tumor_029,,
131,normal_147,,
132,tumor_011,,
133,tumor_075,,
134,tumor_059,,
135,tumor_067,,
136,tumor_001,,
137,normal_110,,
138,tumor_045,,
139,normal_095,,
140,normal_054,,
141,normal_053,,
142,normal_015,,
143,tumor_108,,
144,tumor_060,,
145,tumor_088,,
146,normal_154,,
147,tumor_049,,
148,normal_133,,
149,normal_104,,
150,tumor_058,,
151,normal_005,,
152,tumor_064,,
153,tumor_024,,
154,normal_096,,
155,normal_028,,
156,normal_016,,
157,normal_120,,
158,normal_017,,
159,normal_061,,
160,tumor_055,,
161,tumor_087,,
162,normal_077,,
163,normal_018,,
164,tumor_019,,
165,normal_037,,
166,normal_100,,
167,tumor_069,,
168,normal_081,,
169,normal_089,,
170,tumor_101,,
171,tumor_026,,
172,normal_155,,
173,tumor_056,,
174,normal_134,,
175,tumor_027,,
176,normal_142,,
177,tumor_104,,
178,normal_108,,
179,tumor_009,,
180,tumor_071,,
181,tumor_010,,
182,normal_123,,
183,normal_143,,
184,tumor_042,,
185,normal_023,,
186,normal_003,,
187,tumor_051,,
188,tumor_043,,
189,normal_048,,
190,normal_088,,
191,normal_045,,
192,normal_122,,
193,tumor_054,,
194,normal_079,,
195,normal_105,,
196,tumor_095,,
197,tumor_068,,
198,tumor_053,,
199,normal_020,,
200,tumor_081,,
201,normal_117,,
202,normal_101,,
203,tumor_061,,
204,normal_102,,
205,normal_092,,
206,normal_026,,
207,normal_034,,
208,normal_055,,
209,normal_094,,
210,tumor_012,,
211,normal_091,,
212,normal_085,,
213,normal_121,,
214,normal_074,,
215,normal_012,,
216,normal_151,,
217,normal_135,,
218,normal_038,,
219,tumor_100,,
220,normal_071,,
221,normal_076,,
222,normal_002,,
223,normal_070,,
224,normal_072,,
225,normal_032,,
226,normal_145,,
227,normal_087,,
228,normal_009,,
229,tumor_031,,
230,normal_150,,
231,tumor_078,,
232,tumor_044,,
233,tumor_072,,
234,normal_049,,
235,normal_042,,
236,tumor_034,,
237,normal_024,,
238,normal_056,,
239,tumor_103,,
240,normal_069,,
241,normal_058,,
