,train,val,test
0,tumor_055,normal_142,test_001
1,tumor_079,tumor_010,test_002
2,tumor_062,normal_021,test_003
3,normal_107,normal_052,test_004
4,tumor_071,tumor_016,test_005
5,normal_038,normal_039,test_006
6,tumor_048,tumor_085,test_007
7,tumor_019,tumor_078,test_008
8,normal_051,normal_081,test_009
9,normal_076,normal_140,test_010
10,normal_082,tumor_067,test_011
11,tumor_097,normal_074,test_012
12,normal_061,normal_104,test_013
13,normal_071,normal_136,test_014
14,tumor_063,normal_145,test_015
15,normal_159,tumor_025,test_016
16,tumor_035,normal_147,test_017
17,tumor_084,tumor_060,test_018
18,normal_115,normal_143,test_019
19,normal_019,normal_073,test_020
20,normal_109,tumor_044,test_021
21,tumor_003,normal_026,test_022
22,tumor_086,tumor_007,test_023
23,normal_048,normal_132,test_024
24,tumor_017,tumor_057,test_025
25,tumor_072,normal_137,test_026
26,normal_043,tumor_014,test_027
27,normal_128,,test_028
28,normal_090,,test_029
29,tumor_077,,test_030
30,normal_028,,test_031
31,tumor_096,,test_032
32,normal_091,,test_033
33,normal_130,,test_034
34,tumor_034,,test_035
35,tumor_049,,test_036
36,normal_156,,test_037
37,tumor_009,,test_038
38,normal_083,,test_039
39,normal_050,,test_040
40,tumor_107,,test_041
41,normal_129,,test_042
42,normal_127,,test_043
43,normal_063,,test_044
44,tumor_024,,test_045
45,normal_033,,test_046
46,normal_122,,test_047
47,tumor_050,,test_048
48,normal_059,,test_050
49,normal_057,,test_051
50,tumor_087,,test_052
51,tumor_104,,test_053
52,tumor_018,,test_054
53,tumor_021,,test_055
54,tumor_073,,test_056
55,normal_120,,test_057
56,tumor_046,,test_058
57,normal_093,,test_059
58,normal_068,,test_060
59,tumor_110,,test_061
60,normal_020,,test_062
61,tumor_054,,test_063
62,normal_139,,test_064
63,normal_036,,test_065
64,normal_103,,test_066
65,normal_046,,test_067
66,normal_055,,test_068
67,tumor_111,,test_069
68,tumor_061,,test_070
69,normal_102,,test_071
70,tumor_005,,test_072
71,tumor_089,,test_073
72,normal_117,,test_074
73,normal_058,,test_075
74,normal_042,,test_076
75,tumor_076,,test_077
76,normal_141,,test_078
77,tumor_109,,test_079
78,tumor_051,,test_080
79,normal_094,,test_081
80,tumor_082,,test_082
81,normal_012,,test_083
82,tumor_029,,test_084
83,normal_018,,test_085
84,tumor_091,,test_086
85,tumor_030,,test_087
86,normal_023,,test_088
87,normal_118,,test_089
88,normal_009,,test_090
89,tumor_052,,test_091
90,normal_150,,test_092
91,tumor_041,,test_093
92,normal_133,,test_094
93,tumor_106,,test_095
94,normal_138,,test_096
95,tumor_045,,test_097
96,normal_070,,test_098
97,normal_116,,test_099
98,normal_153,,test_100
99,tumor_033,,test_101
100,normal_151,,test_102
101,normal_075,,test_103
102,normal_146,,test_104
103,normal_095,,test_105
104,tumor_075,,test_106
105,normal_029,,test_107
106,tumor_092,,test_108
107,normal_022,,test_109
108,tumor_047,,test_110
109,tumor_013,,test_111
110,normal_017,,test_112
111,normal_135,,test_113
112,normal_005,,test_114
113,normal_092,,test_115
114,normal_064,,test_116
115,normal_002,,test_117
116,tumor_081,,test_118
117,tumor_102,,test_119
118,normal_101,,test_120
119,tumor_026,,test_121
120,tumor_108,,test_122
121,tumor_023,,test_123
122,normal_066,,test_124
123,normal_065,,test_125
124,tumor_099,,test_126
125,normal_126,,test_127
126,tumor_043,,test_128
127,normal_105,,test_129
128,normal_053,,test_130
129,tumor_012,,
130,normal_004,,
131,normal_062,,
132,normal_121,,
133,normal_119,,
134,tumor_008,,
135,normal_125,,
136,normal_030,,
137,tumor_068,,
138,normal_024,,
139,normal_015,,
140,normal_100,,
141,normal_088,,
142,tumor_058,,
143,normal_144,,
144,tumor_066,,
145,tumor_098,,
146,normal_079,,
147,tumor_037,,
148,normal_089,,
149,normal_084,,
150,tumor_059,,
151,normal_054,,
152,tumor_036,,
153,normal_008,,
154,tumor_083,,
155,normal_010,,
156,normal_152,,
157,tumor_038,,
158,normal_006,,
159,normal_097,,
160,normal_041,,
161,normal_096,,
162,normal_155,,
163,normal_099,,
164,normal_007,,
165,tumor_064,,
166,tumor_027,,
167,normal_113,,
168,tumor_069,,
169,normal_149,,
170,normal_134,,
171,normal_123,,
172,normal_011,,
173,tumor_015,,
174,normal_069,,
175,normal_049,,
176,normal_108,,
177,normal_110,,
178,tumor_088,,
179,normal_080,,
180,normal_085,,
181,normal_087,,
182,normal_067,,
183,tumor_042,,
184,tumor_006,,
185,tumor_100,,
186,normal_112,,
187,tumor_094,,
188,normal_160,,
189,normal_035,,
190,tumor_011,,
191,normal_013,,
192,normal_124,,
193,tumor_090,,
194,tumor_002,,
195,normal_047,,
196,normal_072,,
197,normal_111,,
198,normal_154,,
199,tumor_022,,
200,tumor_065,,
201,normal_106,,
202,tumor_070,,
203,tumor_039,,
204,normal_025,,
205,tumor_074,,
206,normal_014,,
207,tumor_040,,
208,tumor_080,,
209,tumor_031,,
210,tumor_101,,
211,normal_001,,
212,tumor_032,,
213,normal_114,,
214,tumor_095,,
215,tumor_056,,
216,normal_040,,
217,tumor_028,,
218,normal_131,,
219,normal_158,,
220,tumor_004,,
221,normal_037,,
222,tumor_020,,
223,normal_060,,
224,tumor_053,,
225,normal_003,,
226,normal_032,,
227,normal_157,,
228,normal_078,,
229,normal_077,,
230,tumor_001,,
231,normal_045,,
232,normal_098,,
233,normal_148,,
234,normal_044,,
235,normal_034,,
236,normal_031,,
237,tumor_093,,
238,normal_016,,
239,normal_056,,
240,tumor_103,,
241,tumor_105,,
