,slide_id,train,val,test
0,normal_067,True,False,False
1,normal_140,True,False,False
2,tumor_104,True,False,False
3,tumor_030,True,False,False
4,normal_130,True,False,False
5,tumor_082,True,False,False
6,normal_097,True,False,False
7,tumor_087,True,False,False
8,normal_149,True,False,False
9,normal_126,True,False,False
10,normal_021,True,False,False
11,tumor_102,True,False,False
12,normal_084,True,False,False
13,normal_151,True,False,False
14,tumor_048,True,False,False
15,tumor_065,True,False,False
16,tumor_108,True,False,False
17,normal_117,True,False,False
18,tumor_081,True,False,False
19,tumor_084,True,False,False
20,tumor_097,True,False,False
21,normal_104,True,False,False
22,normal_032,True,False,False
23,normal_066,True,False,False
24,normal_054,True,False,False
25,tumor_049,True,False,False
26,normal_143,True,False,False
27,normal_156,True,False,False
28,tumor_022,True,False,False
29,normal_105,True,False,False
30,tumor_074,True,False,False
31,normal_138,True,False,False
32,tumor_072,True,False,False
33,normal_115,True,False,False
34,tumor_051,True,False,False
35,normal_009,True,False,False
36,normal_103,True,False,False
37,tumor_078,True,False,False
38,normal_002,True,False,False
39,normal_124,True,False,False
40,tumor_018,True,False,False
41,tumor_060,True,False,False
42,tumor_076,True,False,False
43,tumor_062,True,False,False
44,tumor_099,True,False,False
45,tumor_073,True,False,False
46,tumor_109,True,False,False
47,normal_037,True,False,False
48,normal_017,True,False,False
49,normal_020,True,False,False
50,tumor_005,True,False,False
51,normal_158,True,False,False
52,normal_099,True,False,False
53,tumor_020,True,False,False
54,normal_062,True,False,False
55,normal_064,True,False,False
56,tumor_042,True,False,False
57,tumor_063,True,False,False
58,normal_093,True,False,False
59,normal_113,True,False,False
60,tumor_059,True,False,False
61,tumor_083,True,False,False
62,tumor_058,True,False,False
63,normal_078,True,False,False
64,tumor_046,True,False,False
65,tumor_103,True,False,False
66,tumor_024,True,False,False
67,normal_136,True,False,False
68,normal_089,True,False,False
69,normal_061,True,False,False
70,normal_100,True,False,False
71,normal_135,True,False,False
72,normal_137,True,False,False
73,tumor_047,True,False,False
74,normal_102,True,False,False
75,normal_042,True,False,False
76,tumor_001,True,False,False
77,normal_085,True,False,False
78,tumor_057,True,False,False
79,normal_091,True,False,False
80,tumor_064,True,False,False
81,tumor_019,True,False,False
82,normal_148,True,False,False
83,normal_040,True,False,False
84,normal_133,True,False,False
85,normal_058,True,False,False
86,normal_030,True,False,False
87,tumor_105,True,False,False
88,normal_069,True,False,False
89,normal_011,True,False,False
90,normal_094,True,False,False
91,tumor_023,True,False,False
92,normal_160,True,False,False
93,normal_013,True,False,False
94,tumor_011,True,False,False
95,tumor_025,True,False,False
96,normal_081,True,False,False
97,tumor_028,True,False,False
98,normal_157,True,False,False
99,tumor_071,True,False,False
100,normal_111,True,False,False
101,normal_107,True,False,False
102,tumor_027,True,False,False
103,tumor_041,True,False,False
104,normal_044,True,False,False
105,tumor_015,True,False,False
106,tumor_055,True,False,False
107,normal_108,True,False,False
108,tumor_075,True,False,False
109,normal_077,True,False,False
110,tumor_003,True,False,False
111,tumor_069,True,False,False
112,normal_015,True,False,False
113,tumor_050,True,False,False
114,normal_118,True,False,False
115,normal_046,True,False,False
116,tumor_110,True,False,False
117,tumor_029,True,False,False
118,tumor_035,True,False,False
119,normal_036,True,False,False
120,tumor_098,True,False,False
121,normal_070,True,False,False
122,normal_008,True,False,False
123,tumor_090,True,False,False
124,normal_052,True,False,False
125,tumor_031,True,False,False
126,normal_088,True,False,False
127,normal_016,True,False,False
128,normal_147,True,False,False
129,normal_092,True,False,False
130,tumor_039,True,False,False
131,normal_047,True,False,False
132,normal_112,True,False,False
133,tumor_004,True,False,False
134,normal_154,True,False,False
135,normal_050,True,False,False
136,normal_153,True,False,False
137,normal_065,True,False,False
138,normal_076,True,False,False
139,normal_120,True,False,False
140,normal_045,True,False,False
141,tumor_101,True,False,False
142,tumor_070,True,False,False
143,normal_116,True,False,False
144,tumor_100,True,False,False
145,tumor_017,True,False,False
146,normal_127,True,False,False
147,normal_090,True,False,False
148,tumor_054,True,False,False
149,normal_039,True,False,False
150,normal_106,True,False,False
151,normal_080,True,False,False
152,normal_079,True,False,False
153,normal_057,True,False,False
154,normal_026,True,False,False
155,normal_034,True,False,False
156,tumor_066,True,False,False
157,normal_063,True,False,False
158,tumor_044,True,False,False
159,tumor_008,True,False,False
160,tumor_095,True,False,False
161,tumor_026,True,False,False
162,tumor_006,True,False,False
163,normal_121,True,False,False
164,normal_010,True,False,False
165,tumor_093,True,False,False
166,normal_072,True,False,False
167,normal_139,True,False,False
168,normal_059,True,False,False
169,normal_048,True,False,False
170,normal_025,True,False,False
171,normal_033,True,False,False
172,tumor_010,True,False,False
173,tumor_085,True,False,False
174,normal_142,True,False,False
175,normal_119,True,False,False
176,normal_060,True,False,False
177,normal_073,True,False,False
178,normal_038,True,False,False
179,normal_004,True,False,False
180,tumor_107,True,False,False
181,normal_071,True,False,False
182,tumor_106,True,False,False
183,normal_082,True,False,False
184,tumor_037,True,False,False
185,normal_101,True,False,False
186,normal_007,True,False,False
187,normal_075,True,False,False
188,tumor_007,True,False,False
189,normal_043,True,False,False
190,normal_098,True,False,False
191,normal_132,True,False,False
192,tumor_094,True,False,False
193,tumor_012,True,False,False
194,tumor_092,True,False,False
195,normal_074,True,False,False
196,normal_159,True,False,False
197,tumor_016,True,False,False
198,normal_024,True,False,False
199,normal_029,True,False,False
200,tumor_068,True,False,False
201,tumor_021,True,False,False
202,tumor_067,True,False,False
203,normal_056,True,False,False
204,normal_055,True,False,False
205,normal_031,True,False,False
206,tumor_053,True,False,False
207,normal_018,True,False,False
208,normal_023,True,False,False
209,normal_144,True,False,False
210,normal_035,True,False,False
211,normal_123,True,False,False
212,normal_005,True,False,False
213,normal_128,True,False,False
214,normal_041,True,False,False
215,tumor_009,True,False,False
216,tumor_043,True,False,False
217,normal_006,True,False,False
218,normal_019,True,False,False
219,normal_087,True,False,False
220,tumor_079,True,False,False
221,tumor_045,True,False,False
222,tumor_111,True,False,False
223,tumor_013,True,False,False
224,normal_146,True,False,False
225,tumor_038,True,False,False
226,normal_125,True,False,False
227,tumor_036,True,False,False
228,tumor_077,True,False,False
229,tumor_032,True,False,False
230,normal_131,True,False,False
231,normal_051,True,False,False
232,normal_129,True,False,False
233,normal_014,True,False,False
234,tumor_056,True,False,False
235,normal_012,True,False,False
236,normal_049,True,False,False
237,normal_114,True,False,False
238,normal_095,True,False,False
239,normal_053,True,False,False
240,tumor_014,True,False,False
241,tumor_002,True,False,False
242,normal_134,False,True,False
243,tumor_096,False,True,False
244,normal_155,False,True,False
245,tumor_089,False,True,False
246,normal_150,False,True,False
247,normal_022,False,True,False
248,normal_152,False,True,False
249,normal_145,False,True,False
250,tumor_091,False,True,False
251,tumor_052,False,True,False
252,normal_110,False,True,False
253,tumor_040,False,True,False
254,normal_083,False,True,False
255,normal_096,False,True,False
256,tumor_034,False,True,False
