,train,val,test
0,normal_019,tumor_041,test_001
1,normal_144,normal_107,test_002
2,tumor_092,tumor_049,test_003
3,tumor_075,normal_136,test_004
4,tumor_055,normal_088,test_005
5,tumor_009,normal_118,test_006
6,normal_004,normal_050,test_007
7,normal_125,tumor_105,test_008
8,tumor_014,tumor_045,test_009
9,tumor_040,tumor_069,test_010
10,normal_002,tumor_030,test_011
11,tumor_042,tumor_111,test_012
12,normal_138,tumor_068,test_013
13,normal_151,normal_108,test_014
14,normal_071,tumor_087,test_015
15,normal_126,normal_085,test_016
16,tumor_067,normal_140,test_017
17,normal_089,tumor_064,test_018
18,normal_114,normal_014,test_019
19,normal_145,tumor_099,test_020
20,normal_037,normal_112,test_021
21,normal_069,normal_087,test_022
22,normal_097,normal_096,test_023
23,tumor_051,normal_139,test_024
24,tumor_033,normal_063,test_025
25,tumor_076,normal_111,test_026
26,normal_090,normal_062,test_027
27,normal_082,,test_028
28,tumor_098,,test_029
29,tumor_032,,test_030
30,tumor_046,,test_031
31,tumor_048,,test_032
32,normal_030,,test_033
33,tumor_005,,test_034
34,normal_070,,test_035
35,tumor_003,,test_036
36,tumor_054,,test_037
37,tumor_089,,test_038
38,normal_068,,test_039
39,tumor_011,,test_040
40,tumor_037,,test_041
41,normal_159,,test_042
42,tumor_104,,test_043
43,tumor_070,,test_044
44,normal_091,,test_045
45,tumor_101,,test_046
46,normal_147,,test_047
47,tumor_093,,test_048
48,normal_081,,test_050
49,tumor_024,,test_051
50,tumor_110,,test_052
51,normal_158,,test_053
52,normal_120,,test_054
53,tumor_072,,test_055
54,normal_128,,test_056
55,tumor_108,,test_057
56,normal_094,,test_058
57,tumor_044,,test_059
58,tumor_083,,test_060
59,normal_058,,test_061
60,normal_103,,test_062
61,normal_046,,test_063
62,tumor_109,,test_064
63,normal_077,,test_065
64,normal_110,,test_066
65,normal_023,,test_067
66,tumor_065,,test_068
67,normal_028,,test_069
68,normal_047,,test_070
69,normal_092,,test_071
70,normal_104,,test_072
71,tumor_034,,test_073
72,tumor_056,,test_074
73,tumor_016,,test_075
74,normal_095,,test_076
75,tumor_107,,test_077
76,normal_048,,test_078
77,normal_006,,test_079
78,tumor_071,,test_080
79,tumor_023,,test_081
80,normal_060,,test_082
81,tumor_026,,test_083
82,normal_073,,test_084
83,normal_121,,test_085
84,normal_049,,test_086
85,normal_056,,test_087
86,normal_024,,test_088
87,tumor_022,,test_089
88,normal_074,,test_090
89,normal_042,,test_091
90,normal_141,,test_092
91,normal_134,,test_093
92,tumor_053,,test_094
93,tumor_006,,test_095
94,tumor_096,,test_096
95,normal_146,,test_097
96,normal_013,,test_098
97,normal_117,,test_099
98,normal_022,,test_100
99,tumor_095,,test_101
100,normal_072,,test_102
101,tumor_094,,test_103
102,normal_157,,test_104
103,tumor_018,,test_105
104,tumor_019,,test_106
105,normal_132,,test_107
106,tumor_031,,test_108
107,normal_131,,test_109
108,normal_099,,test_110
109,normal_080,,test_111
110,normal_065,,test_112
111,normal_116,,test_113
112,tumor_074,,test_114
113,normal_057,,test_115
114,normal_143,,test_116
115,normal_102,,test_117
116,normal_009,,test_118
117,normal_032,,test_119
118,tumor_062,,test_120
119,normal_025,,test_121
120,normal_044,,test_122
121,normal_122,,test_123
122,tumor_102,,test_124
123,normal_083,,test_125
124,tumor_058,,test_126
125,normal_078,,test_127
126,normal_045,,test_128
127,tumor_012,,test_129
128,tumor_059,,test_130
129,tumor_013,,
130,normal_150,,
131,tumor_088,,
132,tumor_047,,
133,tumor_063,,
134,normal_098,,
135,normal_115,,
136,normal_036,,
137,tumor_078,,
138,normal_041,,
139,normal_160,,
140,normal_054,,
141,tumor_073,,
142,tumor_091,,
143,tumor_086,,
144,tumor_057,,
145,normal_018,,
146,normal_148,,
147,tumor_077,,
148,normal_043,,
149,normal_127,,
150,tumor_081,,
151,tumor_090,,
152,normal_142,,
153,normal_034,,
154,normal_055,,
155,normal_101,,
156,normal_039,,
157,normal_053,,
158,normal_031,,
159,normal_109,,
160,tumor_100,,
161,normal_137,,
162,normal_020,,
163,normal_051,,
164,normal_012,,
165,normal_021,,
166,tumor_082,,
167,tumor_084,,
168,normal_106,,
169,tumor_015,,
170,tumor_103,,
171,normal_084,,
172,normal_016,,
173,normal_079,,
174,tumor_028,,
175,tumor_002,,
176,tumor_025,,
177,tumor_106,,
178,tumor_052,,
179,tumor_036,,
180,tumor_029,,
181,tumor_066,,
182,normal_008,,
183,normal_133,,
184,tumor_027,,
185,normal_035,,
186,normal_010,,
187,normal_154,,
188,tumor_004,,
189,tumor_043,,
190,normal_067,,
191,normal_052,,
192,normal_076,,
193,normal_064,,
194,tumor_050,,
195,tumor_021,,
196,tumor_097,,
197,tumor_085,,
198,tumor_035,,
199,normal_007,,
200,normal_156,,
201,tumor_020,,
202,normal_149,,
203,normal_153,,
204,normal_075,,
205,normal_066,,
206,normal_001,,
207,normal_100,,
208,tumor_010,,
209,normal_029,,
210,tumor_039,,
211,tumor_007,,
212,normal_152,,
213,normal_155,,
214,tumor_079,,
215,tumor_080,,
216,normal_033,,
217,normal_061,,
218,normal_130,,
219,normal_026,,
220,normal_038,,
221,normal_003,,
222,tumor_008,,
223,normal_113,,
224,normal_129,,
225,normal_093,,
226,normal_123,,
227,tumor_038,,
228,normal_017,,
229,normal_015,,
230,normal_005,,
231,normal_040,,
232,normal_124,,
233,tumor_060,,
234,normal_119,,
235,normal_105,,
236,tumor_001,,
237,tumor_061,,
238,normal_135,,
239,tumor_017,,
240,normal_059,,
241,normal_011,,
