,train,val,test
0,normal_067,normal_134,test_001
1,normal_140,tumor_096,test_002
2,tumor_104,normal_155,test_003
3,tumor_030,tumor_089,test_004
4,normal_130,normal_150,test_005
5,tumor_082,normal_022,test_006
6,normal_097,normal_152,test_007
7,tumor_087,normal_145,test_008
8,normal_149,tumor_091,test_009
9,normal_126,tumor_052,test_010
10,normal_021,normal_110,test_011
11,tumor_102,tumor_040,test_012
12,normal_084,normal_083,test_013
13,normal_151,normal_096,test_014
14,tumor_048,tumor_034,test_015
15,tumor_065,tumor_033,test_016
16,tumor_108,tumor_088,test_017
17,normal_117,normal_068,test_018
18,tumor_081,tumor_061,test_019
19,tumor_084,tumor_086,test_020
20,tumor_097,normal_109,test_021
21,normal_104,tumor_080,test_022
22,normal_032,normal_141,test_023
23,normal_066,normal_028,test_024
24,normal_054,normal_003,test_025
25,tumor_049,normal_001,test_026
26,normal_143,normal_122,test_027
27,normal_156,,test_028
28,tumor_022,,test_029
29,normal_105,,test_030
30,tumor_074,,test_031
31,normal_138,,test_032
32,tumor_072,,test_033
33,normal_115,,test_034
34,tumor_051,,test_035
35,normal_009,,test_036
36,normal_103,,test_037
37,tumor_078,,test_038
38,normal_002,,test_039
39,normal_124,,test_040
40,tumor_018,,test_041
41,tumor_060,,test_042
42,tumor_076,,test_043
43,tumor_062,,test_044
44,tumor_099,,test_045
45,tumor_073,,test_046
46,tumor_109,,test_047
47,normal_037,,test_048
48,normal_017,,test_050
49,normal_020,,test_051
50,tumor_005,,test_052
51,normal_158,,test_053
52,normal_099,,test_054
53,tumor_020,,test_055
54,normal_062,,test_056
55,normal_064,,test_057
56,tumor_042,,test_058
57,tumor_063,,test_059
58,normal_093,,test_060
59,normal_113,,test_061
60,tumor_059,,test_062
61,tumor_083,,test_063
62,tumor_058,,test_064
63,normal_078,,test_065
64,tumor_046,,test_066
65,tumor_103,,test_067
66,tumor_024,,test_068
67,normal_136,,test_069
68,normal_089,,test_070
69,normal_061,,test_071
70,normal_100,,test_072
71,normal_135,,test_073
72,normal_137,,test_074
73,tumor_047,,test_075
74,normal_102,,test_076
75,normal_042,,test_077
76,tumor_001,,test_078
77,normal_085,,test_079
78,tumor_057,,test_080
79,normal_091,,test_081
80,tumor_064,,test_082
81,tumor_019,,test_083
82,normal_148,,test_084
83,normal_040,,test_085
84,normal_133,,test_086
85,normal_058,,test_087
86,normal_030,,test_088
87,tumor_105,,test_089
88,normal_069,,test_090
89,normal_011,,test_091
90,normal_094,,test_092
91,tumor_023,,test_093
92,normal_160,,test_094
93,normal_013,,test_095
94,tumor_011,,test_096
95,tumor_025,,test_097
96,normal_081,,test_098
97,tumor_028,,test_099
98,normal_157,,test_100
99,tumor_071,,test_101
100,normal_111,,test_102
101,normal_107,,test_103
102,tumor_027,,test_104
103,tumor_041,,test_105
104,normal_044,,test_106
105,tumor_015,,test_107
106,tumor_055,,test_108
107,normal_108,,test_109
108,tumor_075,,test_110
109,normal_077,,test_111
110,tumor_003,,test_112
111,tumor_069,,test_113
112,normal_015,,test_114
113,tumor_050,,test_115
114,normal_118,,test_116
115,normal_046,,test_117
116,tumor_110,,test_118
117,tumor_029,,test_119
118,tumor_035,,test_120
119,normal_036,,test_121
120,tumor_098,,test_122
121,normal_070,,test_123
122,normal_008,,test_124
123,tumor_090,,test_125
124,normal_052,,test_126
125,tumor_031,,test_127
126,normal_088,,test_128
127,normal_016,,test_129
128,normal_147,,test_130
129,normal_092,,
130,tumor_039,,
131,normal_047,,
132,normal_112,,
133,tumor_004,,
134,normal_154,,
135,normal_050,,
136,normal_153,,
137,normal_065,,
138,normal_076,,
139,normal_120,,
140,normal_045,,
141,tumor_101,,
142,tumor_070,,
143,normal_116,,
144,tumor_100,,
145,tumor_017,,
146,normal_127,,
147,normal_090,,
148,tumor_054,,
149,normal_039,,
150,normal_106,,
151,normal_080,,
152,normal_079,,
153,normal_057,,
154,normal_026,,
155,normal_034,,
156,tumor_066,,
157,normal_063,,
158,tumor_044,,
159,tumor_008,,
160,tumor_095,,
161,tumor_026,,
162,tumor_006,,
163,normal_121,,
164,normal_010,,
165,tumor_093,,
166,normal_072,,
167,normal_139,,
168,normal_059,,
169,normal_048,,
170,normal_025,,
171,normal_033,,
172,tumor_010,,
173,tumor_085,,
174,normal_142,,
175,normal_119,,
176,normal_060,,
177,normal_073,,
178,normal_038,,
179,normal_004,,
180,tumor_107,,
181,normal_071,,
182,tumor_106,,
183,normal_082,,
184,tumor_037,,
185,normal_101,,
186,normal_007,,
187,normal_075,,
188,tumor_007,,
189,normal_043,,
190,normal_098,,
191,normal_132,,
192,tumor_094,,
193,tumor_012,,
194,tumor_092,,
195,normal_074,,
196,normal_159,,
197,tumor_016,,
198,normal_024,,
199,normal_029,,
200,tumor_068,,
201,tumor_021,,
202,tumor_067,,
203,normal_056,,
204,normal_055,,
205,normal_031,,
206,tumor_053,,
207,normal_018,,
208,normal_023,,
209,normal_144,,
210,normal_035,,
211,normal_123,,
212,normal_005,,
213,normal_128,,
214,normal_041,,
215,tumor_009,,
216,tumor_043,,
217,normal_006,,
218,normal_019,,
219,normal_087,,
220,tumor_079,,
221,tumor_045,,
222,tumor_111,,
223,tumor_013,,
224,normal_146,,
225,tumor_038,,
226,normal_125,,
227,tumor_036,,
228,tumor_077,,
229,tumor_032,,
230,normal_131,,
231,normal_051,,
232,normal_129,,
233,normal_014,,
234,tumor_056,,
235,normal_012,,
236,normal_049,,
237,normal_114,,
238,normal_095,,
239,normal_053,,
240,tumor_014,,
241,tumor_002,,
