,train,val,test
0,normal_122,tumor_022,test_001
1,normal_084,normal_119,test_002
2,normal_091,tumor_107,test_003
3,normal_142,normal_156,test_004
4,tumor_048,normal_105,test_005
5,tumor_090,tumor_038,test_006
6,normal_056,normal_033,test_007
7,normal_154,normal_098,test_008
8,tumor_045,normal_127,test_009
9,normal_070,normal_074,test_010
10,tumor_023,normal_016,test_011
11,tumor_092,tumor_105,test_012
12,tumor_102,tumor_104,test_013
13,normal_079,tumor_084,test_014
14,normal_113,tumor_037,test_015
15,normal_146,normal_077,test_016
16,tumor_070,tumor_073,test_017
17,tumor_001,normal_039,test_018
18,tumor_085,normal_023,test_019
19,tumor_020,normal_107,test_020
20,tumor_012,normal_008,test_021
21,normal_075,tumor_040,test_022
22,tumor_033,tumor_010,test_023
23,tumor_030,normal_045,test_024
24,tumor_003,normal_065,test_025
25,normal_160,normal_049,test_026
26,normal_100,tumor_091,test_027
27,normal_094,,test_028
28,normal_085,,test_029
29,normal_151,,test_030
30,tumor_017,,test_031
31,normal_114,,test_032
32,tumor_050,,test_033
33,tumor_072,,test_034
34,tumor_013,,test_035
35,tumor_019,,test_036
36,normal_072,,test_037
37,tumor_093,,test_038
38,normal_004,,test_039
39,tumor_066,,test_040
40,normal_099,,test_041
41,normal_014,,test_042
42,normal_058,,test_043
43,normal_024,,test_044
44,tumor_057,,test_045
45,tumor_049,,test_046
46,normal_095,,test_047
47,tumor_026,,test_048
48,normal_038,,test_050
49,tumor_086,,test_051
50,tumor_077,,test_052
51,normal_071,,test_053
52,tumor_042,,test_054
53,normal_032,,test_055
54,normal_117,,test_056
55,tumor_015,,test_057
56,normal_035,,test_058
57,normal_153,,test_059
58,tumor_097,,test_060
59,normal_143,,test_061
60,normal_109,,test_062
61,normal_144,,test_063
62,tumor_096,,test_064
63,normal_048,,test_065
64,normal_043,,test_066
65,tumor_036,,test_067
66,tumor_052,,test_068
67,normal_145,,test_069
68,tumor_027,,test_070
69,normal_036,,test_071
70,tumor_029,,test_072
71,normal_101,,test_073
72,normal_138,,test_074
73,normal_052,,test_075
74,tumor_089,,test_076
75,normal_026,,test_077
76,normal_047,,test_078
77,tumor_111,,test_079
78,normal_040,,test_080
79,tumor_021,,test_081
80,normal_005,,test_082
81,tumor_062,,test_083
82,normal_044,,test_084
83,tumor_074,,test_085
84,normal_082,,test_086
85,normal_120,,test_087
86,normal_121,,test_088
87,normal_017,,test_089
88,normal_141,,test_090
89,tumor_032,,test_091
90,tumor_063,,test_092
91,normal_050,,test_093
92,normal_089,,test_094
93,tumor_058,,test_095
94,tumor_056,,test_096
95,normal_118,,test_097
96,normal_061,,test_098
97,tumor_059,,test_099
98,tumor_028,,test_100
99,tumor_095,,test_101
100,normal_152,,test_102
101,normal_108,,test_103
102,tumor_044,,test_104
103,tumor_025,,test_105
104,normal_066,,test_106
105,normal_131,,test_107
106,normal_102,,test_108
107,normal_051,,test_109
108,normal_031,,test_110
109,tumor_043,,test_111
110,normal_111,,test_112
111,normal_136,,test_113
112,normal_062,,test_114
113,normal_006,,test_115
114,tumor_083,,test_116
115,normal_132,,test_117
116,normal_046,,test_118
117,tumor_034,,test_119
118,normal_009,,test_120
119,normal_019,,test_121
120,normal_076,,test_122
121,normal_067,,test_123
122,normal_064,,test_124
123,tumor_011,,test_125
124,tumor_008,,test_126
125,normal_123,,test_127
126,tumor_080,,test_128
127,normal_140,,test_129
128,tumor_016,,test_130
129,tumor_069,,
130,normal_139,,
131,normal_015,,
132,normal_057,,
133,normal_155,,
134,normal_134,,
135,normal_029,,
136,normal_092,,
137,normal_135,,
138,tumor_053,,
139,normal_137,,
140,tumor_024,,
141,normal_081,,
142,tumor_078,,
143,tumor_106,,
144,tumor_061,,
145,normal_059,,
146,tumor_064,,
147,normal_060,,
148,normal_001,,
149,normal_055,,
150,tumor_071,,
151,tumor_009,,
152,normal_041,,
153,normal_133,,
154,normal_159,,
155,tumor_076,,
156,normal_083,,
157,normal_124,,
158,tumor_110,,
159,tumor_054,,
160,normal_013,,
161,normal_018,,
162,normal_103,,
163,tumor_101,,
164,tumor_035,,
165,normal_068,,
166,normal_021,,
167,normal_022,,
168,tumor_109,,
169,tumor_075,,
170,tumor_014,,
171,normal_063,,
172,tumor_088,,
173,normal_148,,
174,normal_128,,
175,tumor_087,,
176,normal_129,,
177,normal_090,,
178,tumor_047,,
179,normal_025,,
180,normal_054,,
181,normal_097,,
182,tumor_055,,
183,normal_037,,
184,normal_093,,
185,normal_053,,
186,tumor_068,,
187,tumor_108,,
188,normal_126,,
189,tumor_031,,
190,tumor_082,,
191,normal_003,,
192,normal_112,,
193,tumor_067,,
194,tumor_006,,
195,normal_020,,
196,normal_149,,
197,tumor_099,,
198,normal_096,,
199,normal_158,,
200,normal_011,,
201,normal_115,,
202,tumor_065,,
203,normal_069,,
204,tumor_005,,
205,normal_042,,
206,normal_007,,
207,normal_104,,
208,tumor_081,,
209,normal_080,,
210,tumor_094,,
211,normal_106,,
212,normal_010,,
213,normal_087,,
214,tumor_041,,
215,tumor_060,,
216,tumor_100,,
217,tumor_046,,
218,tumor_002,,
219,normal_002,,
220,normal_012,,
221,normal_110,,
222,normal_078,,
223,normal_088,,
224,normal_157,,
225,normal_028,,
226,tumor_098,,
227,normal_150,,
228,tumor_018,,
229,tumor_051,,
230,tumor_004,,
231,tumor_079,,
232,normal_125,,
233,normal_034,,
234,tumor_007,,
235,normal_073,,
236,normal_116,,
237,normal_030,,
238,normal_147,,
239,tumor_103,,
240,tumor_039,,
241,normal_130,,
