,train,val,test
0,tumor_023,tumor_058,test_001
1,tumor_059,normal_159,test_002
2,tumor_055,normal_002,test_003
3,normal_085,normal_112,test_004
4,normal_042,normal_070,test_005
5,tumor_024,normal_081,test_006
6,normal_138,normal_141,test_007
7,normal_098,normal_026,test_008
8,normal_032,tumor_063,test_009
9,normal_160,tumor_015,test_010
10,tumor_057,tumor_100,test_011
11,normal_144,normal_133,test_012
12,tumor_096,tumor_003,test_013
13,tumor_106,normal_079,test_014
14,normal_052,normal_109,test_015
15,tumor_041,tumor_001,test_016
16,tumor_103,tumor_030,test_017
17,normal_029,normal_028,test_018
18,tumor_037,normal_082,test_019
19,normal_053,tumor_109,test_020
20,tumor_081,tumor_073,test_021
21,tumor_051,normal_064,test_022
22,normal_101,normal_009,test_023
23,tumor_105,tumor_110,test_024
24,tumor_014,normal_113,test_025
25,normal_025,normal_077,test_026
26,normal_116,tumor_021,test_027
27,tumor_072,,test_028
28,normal_104,,test_029
29,tumor_056,,test_030
30,normal_062,,test_031
31,normal_088,,test_032
32,tumor_088,,test_033
33,normal_120,,test_034
34,normal_095,,test_035
35,tumor_083,,test_036
36,normal_114,,test_037
37,tumor_002,,test_038
38,tumor_017,,test_039
39,normal_007,,test_040
40,normal_130,,test_041
41,tumor_075,,test_042
42,normal_149,,test_043
43,normal_057,,test_044
44,tumor_085,,test_045
45,normal_067,,test_046
46,tumor_020,,test_047
47,normal_047,,test_048
48,normal_004,,test_050
49,tumor_025,,test_051
50,normal_108,,test_052
51,normal_092,,test_053
52,normal_040,,test_054
53,tumor_082,,test_055
54,normal_150,,test_056
55,normal_074,,test_057
56,tumor_066,,test_058
57,tumor_087,,test_059
58,normal_060,,test_060
59,tumor_053,,test_061
60,normal_078,,test_062
61,normal_139,,test_063
62,tumor_078,,test_064
63,normal_152,,test_065
64,normal_044,,test_066
65,tumor_042,,test_067
66,normal_020,,test_068
67,normal_127,,test_069
68,tumor_098,,test_070
69,normal_124,,test_071
70,normal_030,,test_072
71,tumor_036,,test_073
72,normal_051,,test_074
73,normal_016,,test_075
74,normal_066,,test_076
75,tumor_048,,test_077
76,tumor_034,,test_078
77,normal_136,,test_079
78,normal_024,,test_080
79,normal_158,,test_081
80,normal_061,,test_082
81,normal_071,,test_083
82,normal_111,,test_084
83,normal_103,,test_085
84,tumor_095,,test_086
85,tumor_050,,test_087
86,tumor_010,,test_088
87,normal_068,,test_089
88,tumor_099,,test_090
89,tumor_065,,test_091
90,tumor_038,,test_092
91,tumor_079,,test_093
92,tumor_018,,test_094
93,normal_118,,test_095
94,tumor_071,,test_096
95,tumor_040,,test_097
96,normal_063,,test_098
97,normal_018,,test_099
98,tumor_111,,test_100
99,normal_049,,test_101
100,normal_048,,test_102
101,normal_010,,test_103
102,normal_122,,test_104
103,tumor_045,,test_105
104,normal_102,,test_106
105,tumor_028,,test_107
106,tumor_004,,test_108
107,normal_099,,test_109
108,normal_106,,test_110
109,normal_041,,test_111
110,normal_033,,test_112
111,normal_073,,test_113
112,normal_132,,test_114
113,normal_023,,test_115
114,tumor_061,,test_116
115,normal_090,,test_117
116,normal_147,,test_118
117,normal_131,,test_119
118,normal_087,,test_120
119,normal_089,,test_121
120,normal_119,,test_122
121,normal_156,,test_123
122,tumor_094,,test_124
123,normal_037,,test_125
124,tumor_092,,test_126
125,tumor_011,,test_127
126,tumor_077,,test_128
127,tumor_009,,test_129
128,tumor_091,,test_130
129,normal_154,,
130,normal_022,,
131,tumor_102,,
132,normal_121,,
133,normal_034,,
134,normal_017,,
135,tumor_046,,
136,normal_097,,
137,normal_054,,
138,normal_126,,
139,tumor_005,,
140,normal_069,,
141,tumor_012,,
142,normal_093,,
143,normal_096,,
144,tumor_089,,
145,normal_134,,
146,tumor_067,,
147,normal_039,,
148,tumor_049,,
149,normal_072,,
150,normal_129,,
151,tumor_013,,
152,normal_014,,
153,tumor_074,,
154,tumor_076,,
155,tumor_007,,
156,normal_015,,
157,normal_083,,
158,tumor_107,,
159,normal_107,,
160,normal_013,,
161,tumor_097,,
162,tumor_027,,
163,tumor_084,,
164,tumor_068,,
165,normal_148,,
166,normal_125,,
167,normal_143,,
168,normal_050,,
169,normal_084,,
170,normal_011,,
171,tumor_104,,
172,normal_100,,
173,normal_075,,
174,normal_115,,
175,normal_080,,
176,normal_151,,
177,normal_065,,
178,normal_019,,
179,tumor_022,,
180,normal_055,,
181,tumor_052,,
182,normal_005,,
183,normal_142,,
184,normal_146,,
185,tumor_047,,
186,normal_036,,
187,normal_105,,
188,tumor_069,,
189,normal_137,,
190,tumor_031,,
191,normal_157,,
192,tumor_006,,
193,tumor_016,,
194,normal_076,,
195,normal_038,,
196,tumor_090,,
197,normal_008,,
198,tumor_080,,
199,tumor_026,,
200,normal_021,,
201,tumor_044,,
202,normal_153,,
203,tumor_060,,
204,normal_123,,
205,normal_046,,
206,normal_140,,
207,normal_094,,
208,tumor_101,,
209,normal_043,,
210,tumor_086,,
211,tumor_008,,
212,normal_091,,
213,normal_031,,
214,tumor_054,,
215,normal_117,,
216,normal_155,,
217,tumor_032,,
218,tumor_108,,
219,normal_045,,
220,tumor_043,,
221,normal_035,,
222,normal_135,,
223,normal_001,,
224,normal_003,,
225,normal_145,,
226,tumor_029,,
227,normal_128,,
228,tumor_070,,
229,normal_056,,
230,normal_110,,
231,normal_012,,
232,normal_058,,
233,tumor_039,,
234,tumor_019,,
235,tumor_035,,
236,tumor_033,,
237,tumor_064,,
238,normal_006,,
239,tumor_093,,
240,tumor_062,,
241,normal_059,,
